year,annual_cost_increase,total_costs,initial_cost,continuing_cost,last_year_cost,is_trend_incidence,is_trend_survival,continuing_to_initial_ratio,last_year_to_initial_ratio,initial_cost_pct,continuing_cost_pct,last_year_cost_pct,cancer_site_AllSites,cancer_site_Bladder,cancer_site_Brain,cancer_site_Breast,cancer_site_Cervix,cancer_site_Colorectal,cancer_site_Esophagus,cancer_site_Head_Neck,cancer_site_Kidney,cancer_site_Leukemia,cancer_site_Lung,cancer_site_Lymphoma,cancer_site_Melanoma,cancer_site_Other,cancer_site_Ovary,cancer_site_Pancreas,cancer_site_Prostate,cancer_site_Stomach,cancer_site_Uterus,sex_Both sexes,sex_Females,sex_Males,age_All ages,scenario_base_case,scenario_trend_both,scenario_trend_incidence,scenario_trend_survival
2010,0.0,124565.6,40463.5,46642.8,37459.2,False,False,1.152712938821407,0.9257528389783384,32.4836873101402,37.44436666302735,30.071865747846914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2010,0.0,122420.8,38552.7,46671.9,37196.3,True,False,1.2106000357951585,0.9648169907684807,31.49195234796701,38.124158639708284,30.38397069778992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2010,0.0,125397.7,40463.5,47136.3,37797.9,False,True,1.1649091156227218,0.9341233457313382,32.268135699458604,37.589445420450296,30.142418880091103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2010,0.0,123236.3,38552.7,47155.7,37527.8,True,True,1.2231490920220893,0.9734156103204187,31.283558496968826,38.264456170787334,30.451904187321432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,2.0,123236.3,38552.7,47155.7,37527.8,True,True,1.2231490920220893,0.9734156103204187,31.283558496968826,38.264456170787334,30.451904187321432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,5.0,123236.3,38552.7,47155.7,37527.8,True,True,1.2231490920220893,0.9734156103204187,31.283558496968826,38.264456170787334,30.451904187321432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,0.0,3980.7,978.7,1895.8,1106.3,False,False,1.9370593644630631,1.1303770307550831,24.586128067927753,47.62478960986761,27.791594443188384,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2010,0.0,3885.2,923.3,1872.3,1089.7,True,False,2.0278349398895266,1.1802231127477527,23.76454236590137,48.19056934005971,28.04746216410996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2010,0.0,3987.7,978.7,1900.2,1108.8,False,True,1.941555124144273,1.1329314396648615,24.542969631617225,47.6515284499837,27.805501918399077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2010,0.0,3891.9,923.3,1876.5,1092.2,True,True,2.0323838405718617,1.182930791725333,23.72363113132403,48.215524550990516,28.063413756776896,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
